date,rental_index,condos,houses
2014-12-31,260.82,6898.1,5990.61
2015-01-31,259.36,6916.64,5964.14
2015-02-28,258.83,6894.75,5974.35
2015-03-31,258.1,6879.93,5988.68
2015-04-30,261.57,6901.96,5987.68
2015-05-31,261.77,6913.05,6036.01
2015-06-30,266.02,6920.57,6016.44
2015-07-31,264.19,6856.95,5956.62
2015-08-31,259.63,6885.88,5957.58
2015-09-30,264.63,6927.05,5984.58
2015-10-31,263.02,6896.51,5989.22
2015-11-30,262.79,6902.99,5989.04
2015-12-31,264.43,6900.31,5978.71
2016-01-31,265.93,6946.3,6057.13
2016-02-29,264.16,6931.18,5960.81
2016-03-31,266.32,7037.99,6025.74
2016-04-30,265.78,7116.65,6067.68
2016-05-31,265.34,7142.51,5992.79
2016-06-30,264.22,7157.55,6132.16
2016-07-31,262.28,7129.86,5940.58
2016-08-31,264.23,7021.09,6058.94
2016-09-30,262.7,7154.18,6020.48
2016-10-31,264.01,7161.3,5974.93
2016-11-30,263.85,7133.96,6064.1
2016-12-31,262.47,7193.56,6047.2
2017-01-31,260.03,7165.97,6039.93
2017-02-28,263.53,7184.41,5994.76
2017-03-31,263.79,7139.86,6002.04
2017-04-30,261.3,7152.03,6346.2
2017-05-31,261.25,7114.75,6371.17
2017-06-30,261.17,7323.43,6368.2
2017-07-31,261.9,7360.81,6420.8
2017-08-31,260.05,7166.03,6283.55
2017-09-30,260.37,7214.33,6372.91
2017-10-31,261.19,7092.36,6204.79
2017-11-30,259.85,6980.95,6107.64
2017-12-31,259.31,6906.48,5997.13
2018-01-31,261.47,7039.41,6179.95
2018-02-28,261.15,7048.04,5949.86
2018-03-31,262.31,6956.69,6192.91
2018-04-30,263.46,7043.2,6189.46
2018-05-31,259.51,7006.51,6187.5
2018-06-30,264.82,7023.59,6173.96
2018-07-31,262.72,7017.59,6146.91
2018-08-31,261.34,6956.95,6262.42
2018-09-30,261.1,7024.97,6271.75
2018-10-31,259.85,7003.01,6337.23
2018-11-30,259.51,7002.71,6268.67
2018-12-31,258.03,7055.42,6154.37
2019-01-31,258.06,7156.6,6321.2
2019-02-28,256.77,7142.28,6315.93
2019-03-31,258.29,7167.68,6315.37
2019-04-30,259.89,7116.15,6301.17
2019-05-31,260.05,7239.54,6283.45
2019-06-30,261.69,7122.79,6414.52
2019-07-31,260.64,7169.47,6365.51
2019-08-31,257.84,7066.86,6339.55
2019-09-30,258.36,7095.6,6305.57
2019-10-31,257.81,7107.19,6287.92
2019-11-30,257.62,7101.95,6294.62
2019-12-31,256.62,7085.11,6326.42
2020-01-31,258.26,7157.74,6308.97
2020-02-29,258.8,7245.38,6316.64
2020-03-31,258.43,7366.09,6398.48
2020-04-30,256.67,7383.67,6384.32
2020-05-31,258.01,7342.29,6434.78
2020-06-30,258.19,7324.25,6476.47
2020-07-31,259.1,7283.8,6435.7
2020-08-31,258.82,7346.98,6557.46
2020-09-30,258.04,7417.49,6601.12
2020-10-31,259.78,7473.89,6608.01
2020-11-30,258.16,7417.06,6718.1
2020-12-31,259.34,7474.41,6682.09
2021-01-31,259.35,7502.83,6718.7
2021-02-28,261.08,7617.25,6786.41
2021-03-31,260.08,7587.43,6856.98
2021-04-30,260.05,7681.46,6764.13
2021-05-31,259.7,7745.26,6838.57
2021-06-30,261.13,7825.58,6934.93
2021-07-31,259.55,7779.41,7041.54
2021-08-31,258.36,7916.01,7047.7
2021-09-30,257.97,7964.99,7030.86
2021-10-31,256.98,7978.41,7120.61
2021-11-30,260.74,8028.64,7126.35
2021-12-31,258.45,8020.46,7139.86
2022-01-31,258.52,8044.12,7184.56
2022-02-28,260.07,8155.9,7241.09
2022-03-31,260.03,8192.36,7277.12
2022-04-30,260.19,8304.48,7323.15
2022-05-31,262.12,8322.89,7396.56
2022-06-30,262.38,8416.11,7415.28
2022-07-31,263.05,8471.87,7427.35
2022-08-31,263.64,8424.84,7419.4
2022-09-30,264.53,8429.15,7479.46
2022-10-31,268.13,8484.83,7438.52
2022-11-30,266.62,8504.02,7368.71
2022-12-31,269.44,8515.35,7475.42
2023-01-31,266.55,8463.31,7422.42
2023-02-28,269.88,8498.89,7406.62
2023-03-31,271.97,8582.18,7431.63
2023-04-30,271.66,8589.25,7428.71
